# Output file from one.py
# pathway	length	TF	fraction	ocurrences	unknowns	other_TFs	subroute
ARG+POLYAMINE-SYN	8	ArgR	0.5	4	1	3	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'ORNDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	ArgR	0.5714285714285714	4	1	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'ORNDECARBOX-RXN']
ARG+POLYAMINE-SYN	8	['H-NS', 'ArgR', 'PurR']	0.25	2	3	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	ArgR	0.5714285714285714	4	1	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	7	ArgR	0.42857142857142855	3	2	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	7	['ArgR', 'PurR']	0.2857142857142857	2	3	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	['H-NS', 'PurR']	0.2857142857142857	2	3	0	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	6	ArgR	0.6666666666666666	4	0	2	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	6	ArgR	0.5	3	1	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	6	['ArgR', 'PurR']	0.3333333333333333	2	2	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	6	PurR	0.3333333333333333	2	3	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	6	['H-NS', 'PurR']	0.3333333333333333	2	3	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	5	ArgR	0.8	4	0	1	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	5	ArgR	0.6	3	0	2	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	5	['ArgR', 'PurR']	0.4	2	1	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	5	PurR	0.4	2	2	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	5	PurR	0.4	2	3	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	5	['PurR', 'GadE-RcsB', 'GadX', 'Lrp', 'SoxS', 'ArcA', 'CadC', 'OmpR', 'H-NS', 'GlaR']	0.2	1	3	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	ArgR	0.75	3	0	1	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	4	['ArgR', 'PurR']	0.5	2	0	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	4	PurR	0.5	2	1	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	4	PurR	0.5	2	2	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	4	PurR	0.25	1	3	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	4	['GadE-RcsB', 'GadX', 'Lrp', 'ArcA', 'SoxS', 'CadC', 'OmpR', 'H-NS', 'GlaR']	0.25	1	3	0	['SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN']
ARG+POLYAMINE-SYN	3	ArgR	0.6666666666666666	2	0	1	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	3	PurR	0.6666666666666666	2	0	1	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	3	PurR	0.6666666666666666	2	1	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	3	PurR	0.3333333333333333	1	2	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	3	unknown	1.0	3	3	0	['SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	3	['GadE-RcsB', 'GadX', 'Lrp', 'ArcA', 'SoxS', 'CadC', 'OmpR', 'H-NS', 'GlaR']	0.3333333333333333	1	2	0	['SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ORNCARBAMTRANSFER-RXN', 'ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ARGSUCCINSYN-RXN', 'ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN']
ARG+POLYAMINE-SYN	2	['AdiY', 'PurR', 'IHF', 'ArgR', 'H-NS']	0.5	1	0	0	['ARGSUCCINLYA-RXN', 'ARGDECARBOX-RXN', 'AGMATIN-RXN']
ARG+POLYAMINE-SYN	2	PurR	1.0	2	0	0	['ARGDECARBOX-RXN', 'AGMATIN-RXN', 'SPERMIDINESYN-RXN']
ARG+POLYAMINE-SYN	2	PurR	0.5	1	1	0	['AGMATIN-RXN', 'SPERMIDINESYN-RXN', 'SAMDECARB-RXN']
ARG+POLYAMINE-SYN	2	unknown	1.0	2	2	0	['SPERMIDINESYN-RXN', 'SAMDECARB-RXN', 'RXN0-5217']
ARG+POLYAMINE-SYN	2	unknown	1.0	2	2	0	['SAMDECARB-RXN', 'RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	2	['GadE-RcsB', 'GadX', 'Lrp', 'ArcA', 'SoxS', 'CadC', 'OmpR', 'H-NS', 'GlaR']	0.5	1	1	0	['RXN0-5217', 'LYSDECARBOX-RXN']
ARG+POLYAMINE-SYN	7	ArgR	1.0	7	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	6	ArgR	1.0	6	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	6	ArgR	1.0	6	0	0	['ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	5	ArgR	1.0	5	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
ARG+POLYAMINE-SYN	5	ArgR	1.0	5	0	0	['ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	5	ArgR	1.0	5	0	0	['ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	4	ArgR	1.0	4	0	0	['ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	3	ArgR	1.0	3	0	0	['N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['CARBPSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	2	ArgR	1.0	2	0	0	['ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	14	ArgR	0.5714285714285714	8	3	3	['LYSDECARBOX-RXN', 'RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	13	ArgR	0.5384615384615384	7	3	3	['LYSDECARBOX-RXN', 'RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	13	ArgR	0.6153846153846154	8	3	2	['RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	12	ArgR	0.5	6	3	3	['LYSDECARBOX-RXN', 'RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
ARG+POLYAMINE-SYN	12	ArgR	0.5833333333333334	7	3	2	['RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	12	ArgR	0.6666666666666666	8	2	2	['SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN', 'N-ACETYLTRANSFER-RXN']
ARG+POLYAMINE-SYN	11	ArgR	0.45454545454545453	5	3	3	['LYSDECARBOX-RXN', 'RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN']
ARG+POLYAMINE-SYN	11	ArgR	0.5454545454545454	6	3	2	['RXN0-5217', 'SAMDECARB-RXN', 'SPERMIDINESYN-RXN', 'AGMATIN-RXN', 'ARGDECARBOX-RXN', 'ARGSUCCINLYA-RXN', 'ARGSUCCINSYN-RXN', 'ORNCARBAMTRANSFER-RXN', 'ACETYLORNDEACET-RXN', 'ACETYLORNTRANSAM-RXN', 'N-ACETYLGLUTPREDUCT-RXN', 'ACETYLGLUTKIN-RXN']
